utc,seconds_from_recording_start,elevation_deg
2026-09-23T22:44:22+00:00,191,14.834749594600753
2026-09-23T22:44:24+00:00,193,15.04504386045251
2026-09-23T22:44:26+00:00,195,15.257116017230693
2026-09-23T22:44:28+00:00,197,15.470994685324643
2026-09-23T22:44:30+00:00,199,15.686709004784756
2026-09-23T22:44:32+00:00,201,15.904288643305598
2026-09-23T22:44:34+00:00,203,16.123763804148272
2026-09-23T22:44:36+00:00,205,16.34516523397396
2026-09-23T22:44:38+00:00,207,16.56852423057296
2026-09-23T22:44:40+00:00,209,16.793872650461104
2026-09-23T22:44:42+00:00,211,17.021242916319352
2026-09-23T22:44:44+00:00,213,17.250668024247805
2026-09-23T22:44:46+00:00,215,17.482181550811195
2026-09-23T22:44:48+00:00,217,17.71581765983111
2026-09-23T22:44:50+00:00,219,17.95161110889641
2026-09-23T22:44:52+00:00,221,18.18959725555933
2026-09-23T22:44:54+00:00,223,18.429812063159968
2026-09-23T22:44:56+00:00,225,18.672292106252407
2026-09-23T22:44:58+00:00,227,18.917074575564634
2026-09-23T22:45:00+00:00,229,19.16419728246372
2026-09-23T22:45:02+00:00,231,19.413698662843775
2026-09-23T22:45:04+00:00,233,19.665617780394534
2026-09-23T22:45:06+00:00,235,19.919994329172223
2026-09-23T22:45:08+00:00,237,20.17686863541545
2026-09-23T22:45:10+00:00,239,20.43628165851211
2026-09-23T22:45:12+00:00,241,20.69827499104918
2026-09-23T22:45:14+00:00,243,20.96289085784322
2026-09-23T22:45:16+00:00,245,21.230172113874893
2026-09-23T22:45:18+00:00,247,21.50016224099959
2026-09-23T22:45:20+00:00,249,21.77290534334209
2026-09-23T22:45:22+00:00,251,22.04844614125024
2026-09-23T22:45:24+00:00,253,22.326829963675014
2026-09-23T22:45:26+00:00,255,22.60810273884613
2026-09-23T22:45:28+00:00,257,22.892310983084336
2026-09-23T22:45:30+00:00,259,23.17950178761093
2026-09-23T22:45:32+00:00,261,23.46972280315879
2026-09-23T22:45:34+00:00,263,23.763022222219607
2026-09-23T22:45:36+00:00,265,24.05944875872353
2026-09-23T22:45:38+00:00,267,24.359051624946154
2026-09-23T22:45:40+00:00,269,24.66188050540598
2026-09-23T22:45:42+00:00,271,24.967985527524213
2026-09-23T22:45:44+00:00,273,25.277417228772023
2026-09-23T22:45:46+00:00,275,25.590226520048628
2026-09-23T22:45:48+00:00,277,25.906464644971173
2026-09-23T22:45:50+00:00,279,26.226183134765332
2026-09-23T22:45:52+00:00,281,26.549433758435647
2026-09-23T22:45:54+00:00,283,26.876268467819237
2026-09-23T22:45:56+00:00,285,27.206739337165253
